■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP
グレネードランチャー	220	爆発(3点射)	4800	3x3	12	200	3.0	クラスC4または累計バトル時間13000秒で支給。	なし	0
多装Gランチャー	250	爆発	4000	4x3	14	220	3.0	グレネードランチャーを所持	チタン鋼x8 ニュード群体x5 銀片x20	50
強化型Gランチャー	320	爆発	10500	1x3	16	30	3.6	多装Gランチャーを所持	鉛板x20 ニュード胚x20 メタモチップx3	150
連射式Gランチャー	300	爆発(3点射)	2800	9x3	11	350	2.8	強化型Gランチャーを所持	撃破章x10 超剛性メタルx5 ニュード素子x5 ソノチップx8	250
拡散型Gランチャー	340	爆発(3点射)	2700	6x4	15	240	3.2	連射式Gランチャーを所持	撃破章x20 ウーツ重鋼x5 ニュード集積体x3 カロラチップx2	350

●ミサイルスロアー系統
○名称	重量	属性	威力	総弾数	爆発半径	誘導性能	弾速(初速)	連射速度	リロード時間	条件	素材・勲章	GP
ミサイルスロアー	350	爆発(1ロック4発)	2600	4x4	11	D	30	360	2.4	累計バトル時間39000秒以上。または強襲兵装の累計スコア3500pt以上	隕鉄塊x10 超剛性メタルx1 銅片x20	50
MSL－ハイヴ	360	爆発(1ロック3発)	3100	3x4	13	C-	30	240	2.6	ミサイルスロアーを所持	チタン鋼x10 黄金片x5 メタモチップx3	150
MSL－ナイダス	380	爆発(1ロック4発)	2700	4x4	10	E	50	480	2.6	MSL-ハイヴを所持	鉛板x15 超剛性メタルx5 カロラチップx1	250
MSL－スウォーム	420	爆発(1ロック6発)	2200	6x3	11	D+	30	540	3.4	MSL-ナイダスを所持	マルチスコアラー/銀x5 複層重合金属x2 銀片x10 ソノチップx10	350
MSL－ホード	430	爆発(1ロック3発)	2000	6x3	14	C-	30	600	2.6	MSL-スウォームを所持	マルチスコアラー/銀x10 ウーツ重鋼x10 カロラチップx3 ロゼンジ重回路x1	500

●クラッカー系統
○名称	重量	属性	威力	総弾数	爆発半径	起爆時間	リロード時間	条件	素材・勲章	GP
39型クラッカー	100	爆発	6800	1x6	16	2.5	1.0	40型軽量手榴弾を所持	チタン鋼x10 黄金片x10	50
40型クラッカー	110	爆発	6000	1x8	18	0.5	1.0	39型クラッカーを所持	ウーツ重鋼x5 銅片x5 メタモチップx3	150
42型クラッカー	160	爆発	7400	1x4	24	3.5	1.4	40型クラッカーを所持	コアストライカーx5 超剛性メタルx3 カロラチップx2	250
60型クラッカー	130	爆発	8500	1x4	15	2.0	0.8	42型クラッカーを所持	コアストライカーx10 複層重合金属x2 銅片x20 ソノチップx10	350

●バーストチャクラム系統
○名称	重量	属性	威力	総弾数	爆発半径	停滞時間	リロード時間	条件	素材・勲章	GP
バーストチャクラム	200	爆発	6500	1x4	15	2.0	0.8	不明	銅片x20 破損ＩＣ x30ペンタクル回路 x5	150
バーストチャクラムS	180	爆発	5500	1x6	17	1.0	0.6	バーストチャクラムを所持	最優秀貢献章x1 黄金片x30 ハニカム回路x20 ロゼンジ重回路x5	250
バーストチャクラムV	230	爆発	9800	1x3	13	3.0	1	バーストチャクラムSを所持	最優秀貢献章x3 メタモチップx5 ペンタクル回路x15 モノリスＮＳＩx2	350

●チェインボム系統
○名称	重量	属性	威力	総弾数	爆発半径	爆発回数	リロード時間	条件	素材・勲章	GP
チェインボム	140	爆発	6000	1x4	12	6	1.5	40型クラッカーを所持	隕鉄塊x15 黄金片x10 ソノチップx5	150
チェインボムS	120	爆発	4800	1x5	10	8	1.2	チェインボムを所持	プラントガード/銀x3 鉛板x15 複層重合金属x1 メタモチップx3	250
チェインボムV	190	爆発	8000	1x3	14	4	2.0	チェインボムSを所持	プラントガード/銀x10 超剛性メタルx3 カロラチップx2	350
チェインボムX	210	爆発	7000	1x4	13	5	2.2	チェインボムVを所持	プラントガード/銀x15 複層重合金属x3 メタモチップx5 ルミノチップx2	500

●フレアグレネード系統
○名称	重量	属性	威力	総弾数	爆発半径	起爆時間	効果持続	リロード時間	条件	素材・勲章	GP
フレアグレネード	170	爆発50%／ニュード50%(毎秒)	4600	1x5	10	1.2	1.8	1.4	41型強化手榴弾を所持	銀片x10 ソノチップx5 メタモチップx2	150
フレアグレネードS	160	爆発50%／ニュード50%(毎秒)	6400	1x6	9	1.0	1.2	1.4	フレアグレネードを所持	ベースガード/銀x5 カロラチップx1 ハニカム回路x10 高磁性アグミナx2	250
フレアグレネードV	200	爆発50%／ニュード50%(毎秒)	4000	1x3	12	1.5	2.5	1.8	フレアグレネードSを所持	ベースガード/銀x15 銀片x25 ロゼンジ重回路x10 モノリスＮＳＩx1	350

●パイロダート系統
○名称	重量	属性	威力	総弾数	爆発半径	連射速度	リロード時間	反動(縦/横)	条件	素材・勲章	GP
パイロダート	340	爆発(単射)	1400x3	4x3	11	90	3.5	?/?	MSL－ナイダスを所持	隕鉄塊x25 ウーツ重鋼 x5ハニカム回路 x25	150
PD－ステーク	370	爆発(単射)	1100x5	3x4	10	90	3.0	?/?	パイロダートを所持	防衛章x3 チタン鋼x25 超剛性メタルx5 破損ＩＣx30	250
PD－スティンガー	440	爆発(単発)	2550x3	1x4	12	-	3.5	?/?	PD－ステークを所持	防衛章x5 複層重合金属x1 ロゼンジ重回路x20 モノリスＮＳＩx2	350

●ブラスターガン系統
○名称	重量	属性	威力	総弾数	連射速度	放電威力	リロード時間	条件	素材・勲章	GP
ブラスターガン	260	実弾50%／ニュード50%	570	16x4	300	5200	3.2	?	ニュード卵x15 ロゼンジ重回路x15	250
ブラスターガン改	240	実弾50%／ニュード50%	500	18x5	360	3300	3.5	ブラスターガンを所持	マルチスコアラー/銀x20 ニュード集積体x3 ニュード融素子x1 高磁性アグミナx5	350
強化型ブラスターガン	290	実弾50%／ニュード50%	620	12x3	240	7000	3.8	ブラスターガン改を所持	マルチスコアラー/銀x40 ニュード集積体x10 モノリスＮＳＩx2 誘電ヘリックスx1	500

◆補助装備
●ソード系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	条件	素材・勲章	GP
デュエルソード	220	近接	斬撃Lv1(4500)	Lv1(6000)	初期装備	なし	0
マーシャルソード	410	近接	斬撃Lv2(4500x2=9000)	Lv2(7500)	デュエルソードを所持	鉛板x15 隕鉄塊x10 チタン鋼x15	250
SW－ティアダウナー	560	近接	斬撃Lv2(4500+5000=9500)	Lv3(9000)	マーシャルソードを所持	近接戦章x5 隕鉄塊x3 ウーツ重鋼x15 超剛性メタルx3	350
SW－エグゼクター	700	近接	斬撃Lv3(4500+9000=13500)	Lv4(12000+12000=24000)	SW－ティアダウナーを所持	近接戦章x15 超剛性メタルx3 複層重合金属x3 ペンタクル回路x5	500
スティールハーツ	430	近接	斬撃Lv2(4500x2=9000)	Lv2(7500)	BB.NET専用アイテム	金メダルx1	0
Tダウナー/CV	560	近接	斬撃Lv2(4500+5000=9500)	Lv3(9000)	BB.NET専用アイテム	投票バトル！報酬orSメダルx500000	なし

●スピア系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	条件	素材・勲章	GP
ロングスピア	190	近接	刺突Lv1(4500)	Lv1(6000)	クラスC4で支給	なし	0
ピアシングスピア	340	近接	刺突Lv1(4500)	Lv2(8000)	ロングスピアを所持	近接戦章x5 隕鉄塊x20 ウーツ重鋼x10 ニュード素子x20	250
SP－ペネトレーター	480	近接	刺突Lv2(4500+4000=8500)	Lv3(8500)	ピアシングスピアを所持	近接戦章x10 鉛板x40 複層重合金属x3 ニュード胚x25	350

●リヒトメッサー系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	条件	素材・勲章	GP
リヒトメッサー	180	近接50%／ニュード50%	斬撃Lv1(2000+3500=5500)	Lv1(4500)	マーシャルソードを所持	鉛板x10 ニュード群体x10	250
リヒトメッサーII	300	近接50%／ニュード50%	斬撃Lv1(2000+4000=6000)	Lv2(8000)	リヒトメッサーを所持	チタン鋼x10 超剛性メタルx2 ニュード集積体x5	350
LM－ジリオス	390	近接50%／ニュード50%	斬撃Lv2(2000+4000+4500=10500)	Lv3(9000)	リヒトメッサーIIを所持	白兵戦闘/銅x10 隕鉄塊x25 超剛性メタルx5 ニュード融素子x2	500
テオグレース	350	近接50%／ニュード50%	斬撃Lv1(2000+4000=6000)	Lv2(8000)	金メダルx1	キャンペーン限定(後日販売予定)	0
氷剣・ユキアネサ	370	近接50%／ニュード50%	斬撃Lv2(2000+4000+4000=10000)	Lv3(8500)	BB.NET専用アイテム	BBコラボチケットx100枚	0

●ブリッツァー系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	投射部分(通常)	投射部分(特殊)	充填効果	充填時間	条件	素材・勲章	GP
LE－ブリッツァー	220	近接30%／ニュード70%(チャージ)	斬撃Lv1(3500)	斬撃Lv1(5000)	0/1200/2000 (ニュード100%)	0/1800/3000 (ニュード100%)	小	1.5	リヒトメッサーIIを所持	鉛板x15 ニュード群体x10 黄金片x10	250
LE－ブリッツァーII	360	近接30%／ニュード70%(チャージ)	斬撃Lv2(3500x2=7000)	斬撃Lv2(5500)	0/1500x2/2500x2 (ニュード100%)	0/2250/3750 (ニュード100%)	小	2	LE-ブリッツァーを所持	白銀武勲x10 複層重合金属x2 ニュード集積体x2 ソノチップx10	350
LE－ライゲル	520	近接30%／ニュード70%(チャージ)	斬撃Lv2(3500+4000=7500)	斬撃Lv3(7000)	0/1800x2/3000x2 (ニュード100%)	0/2700/4500 (ニュード100%)	中	2.5	LE-ブリッツァーIIを所持	白銀武勲x30 チタン鋼x25 ニュード融素子x3 高磁性アグミナx3	500

●スパークロッド系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	条件	素材・勲章	GP
スパークロッド	190	近接70%／ニュード30%	斬撃Lv1(2500x2=5000)	Lv1(4500+3500=8000)	累計バトル時間47000秒以上。または強襲兵装の累計スコア4000pt以上	ニュード胚x20 ニュード集積体x1 銀片x15	250
スパークロッドII	310	近接70%／ニュード30%	斬撃Lv2(2500x2+3000=8000)	Lv2(4500+4500=9000)	スパークロッドを所持	COMBO/銀x5 ニュード素子x10 ニュード群体x5 カロラチップx2	350
SR－ヴァジュラ	420	近接70%／ニュード30%	連撃Lv3(2500x2+3000+4500=12500)	Lv3(2500+4500+2500+4500=14000)	スパークロッドIIを所持	COMBO/銀x15 ニュード卵x20 ニュード融素子x3 メタモチップx3	500

●ダブルクロー系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	条件	素材・勲章	GP
ダブルクロー	200	近接	連撃Lv1(2500x2=5000)	Lv1(3000x2=6000)	スパークロッドを所持	隕鉄塊x20 ウーツ重鋼x2 超剛性メタルx2	150
コンバットクロー	300	近接	連撃Lv2(2500x2+2250x2=9500)	Lv2(3500x2=7000)	ダブルクローを所持	プライムキーパーx5 ウーツ重鋼x5 複層重合金属x2 破損ＩＣx10	250
CL－エビセレイター	400	近接	連撃Lv2(2500x2+2500x2=10000)	Lv3(2500+2500+3000+3000=15500)	コンバットクローを所持	プライムキーパーx15 鉛板x30 超剛性メタルx5 モノリスＮＳＩx2	350
CL－バーサーカー	500	近接	連撃Lv3(3500x2=7000)	Lv4(4500x2=9000)	CL－エビセレイターを所持	プライムキーパーx30 超剛性メタルx7 真鋼テクタイトx2 モノリスＮＳＩx3	500

●グレイヴ系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	充填効果	充填時間	条件	素材・勲章	GP
スラッシュグレイヴ	290	近接50%／ニュード50%(チャージ)	斬撃Lv1(3500/3850/4800)	Lv1(5500/6050/6600)	小（1.1倍/1.2倍）	1.0	累計バトル時間63000秒以上。または強襲兵装の累計スコア5000pt以上	ニュード胚x25 ニュード群体x10 ニュード集積体x1	250
ツイングレイヴ	440	近接50%／ニュード50%(チャージ)	斬撃Lv2(4000+3000+3000=10000/4400+3300+3300=11000/4800+3600+3600=12000)	Lv2(2000x8=16000/2200*8=17600/2400*8=19200)	小（1.1倍/1.2倍）	1.5	スラッシュグレイヴを所持	破壊工作/銀x3 ニュード卵x30 ニュード集積体x3 カロラチップx2	350
SG－テンペスト	530	近接50%／ニュード50%(チャージ)	斬撃Lv3(4000+4000+7500=15500/4400+4400+8250=17050/4800+4800+9000=18600)	Lv3(2500x8=20000/2750*8=22000/3000*8=24000)	小（1.1倍/1.2倍）	2.5	ツイングレイヴを所持	破壊工作/銀x7 ニュード融素子x3 銀片x20 メタモチップx5	500

●サイス系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	増強効果	条件	素材・勲章	GP
プランダーサイス	270	近接50%／ニュード50%	斬撃Lv1(4000)	Lv1(6000)	小(1.15/1.3)	?	ニュード素子x25 ニュード群体x5 銅片x15	250
プランダーサイスII	420	近接50%／ニュード50%	斬撃Lv2(4200x2=8400)	Lv2(7000)	小(1.15/1.3)	プランダーサイスを所持	白兵戦闘/銀x5 ニュード群体x20 銅片x25 ソノチップx5	350
PS－グリムリーパー	540	近接50%／ニュード50%	斬撃Lv2(?x2/?x2/?x2)	Lv3(?/?/?)	中(?/?倍)	プランダーサイスIIを所持	白兵戦闘/銅x15 ニュード融素子x3 銀片x20 メタモチップx5	500

●カノンブレード系統(タイプA)
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	条件	素材・勲章	GP
カノンブレード	450	近接	刺突Lv1(4500)	Lv2(8000)	?	ニュード卵x30 銅片x20 ソノチップx10	250
カノンブレードII	370	近接	刺突Lv1(4500)	Lv1(7000)	カノンブレードを所持	白銀武勲x20 ニュード胚x20 ニュード集積体x10 ルミノチップx1	350
CB－レヴァティン	580	近接	刺突Lv1(4500+4000=8500)	Lv3(8500)	カノンブレードIIを所持	白銀武勲x40 ニュード融素子x3 ニュード結晶体x3 メタモチップx5	500

●カノンブレード系統(タイプB)
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	条件	素材・勲章	GP
カノンブレード	450	爆発50%／ニュード50%	5600	2x3	15	2.0	?	ニュード卵x30 銅片x20 ソノチップx10	250
カノンブレードII	370	爆発50%／ニュード50%	4200	3x3	14	2.5	カノンブレードを所持	白銀武勲x20 ニュード胚x20 ニュード集積体x10 ルミノチップx1	350
CB－レヴァティン	580	爆発50%／ニュード50%	8400	1x4	16	3.0	カノンブレードIIを所持	白銀武勲x40 ニュード融素子x3 ニュード結晶体x3 メタモチップx5	500

◆特別装備
●アサルトチャージャー系統
○名称	重量	出力	連続使用	チャージ時間	条件	素材・勲章	GP
アサルトチャージャー	260	1.60	2.5	40	初期装備	なし	0
AC－マルチウェイ	230	1.25	3.3	45	アサルトチャージャーを所持	超剛性メタルx5 ニュード卵x25 ニュード群体x5	150
AC－ディスタンス	300	1.30	4.0	55	AC-マルチウェイを所持	複層重合金属x2 ニュード胚x20 ニュード素子x20	300
AC－マルチウェイII	290	1.00	5.0	50	AC-ディスタンスを所持	占拠章x10 チタン銅x15 ニュード集積体x5 ニュード融素子x2	350
AC－マルチウェイX	270	1.70	1.7	30	AC-マルチウェイIIを所持	占拠章x25 ウーツ重鋼x15 ニュード融素子x3 破損ＩＣx15	500

■重火力兵装
◆主武器
●ウィーゼル機関銃系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	OH耐性	OH復帰時間	リロード時間	条件	素材・勲章	GP
ウィーゼル機関銃	280	実弾	420	180x8	650	C+	5.54	2.8	3.0	初期装備	なし	0
ウィーゼル機関銃R	300	実弾	390	200x8	660	C	7.82	3.0	3.0	ウィーゼル機関銃を所持	鉛板x10	10
ウィーゼル・ラピッド	320	実弾	400	220x7	730	C+	4.08	2.0	3.0	ウィーゼル機関銃Rを所持	チタン鋼x10 ウーツ重鋼x5 ソノチップx2	50
ウィーゼル・コロナ	330	実弾	430	170x8	680	B-	4.50	2.2	3.0	ウィーゼル･ラピッドを所持	重火力章x5 隕鉄塊x25 ウーツ重鋼x3 カロラチップx1	150
ウィーゼル・オルタ	340	実弾	450	200x7	700	C-	3.90	1.8	3.5	ウィーゼル･コロナを所持、GAXウッドペッカーを所持	重火力章x20 複層重合金属x2 メタモチップx3	250

●サーバル可変機関銃系統(タイプA)
○名称	重量	属性	Bボタン	威力	総弾数	連射速度	連射精度	OH耐性	OH復帰時間	リロード時間	条件	素材・勲章	GP
サーバル可変機関銃	380	実弾	ロックオン	480	170x6	640	C	4.0	2	3.0	ウィーゼル・ラピッド、GAXウッドペッカーを所持	チタン鋼x20 超剛性メタルx1	150
サーバル・カスタム	370	実弾	ロックオン	460	180x6	640	B+	4.5	2.2	3.0	サーバル可変機関銃を所持	複層重合金属x1 破損ＩＣx15 ロゼンジ重回路x5	250
サーバルRM	350	実弾	ロックオン	440	240x5	640	C+	7.0	3.5	3.0	サーバル・カスタムを所持	精密射撃章x3 鉛板x10 超剛性メタルx5 モノリスＮＳＩx1	350
サーバル・サベージ	390	実弾	ロックオン	490	140x7	640	C+	3.5	1.5	3.0	サーバルRMを所持	精密射撃章x7 複層重合金属x3 ハニカム回路x10 高磁性アグミナx3	500

●サーバル可変機関銃系統(タイプB)
○名称	重量	属性	Bボタン	威力	総弾数	連射速度	連射精度	OH耐性	OH復帰時間	リロード時間	条件	素材・勲章	GP
サーバル可変機関銃	380	実弾	精密照準	460	170x6	640	A-	4.0	2	3.0	ウィーゼル・ラピッド、GAXウッドペッカーを所持	チタン鋼x20 超剛性メタルx1	150
サーバル・カスタム	370	実弾	精密照準	440	180x6	640	A+	4.5	2.2	3.0	サーバル可変機関銃を所持	複層重合金属x1 破損ＩＣx15 ロゼンジ重回路x5	250
サーバルRM	350	実弾	精密照準	420	240x5	640	A-	7.0	3.5	3.0	サーバル・カスタムを所持	精密射撃章x3 鉛板x10 超剛性メタルx5 モノリスＮＳＩx1	350
